title,media,date,desc,link,img
Tesla IPO successful: Stock up 40% on day one,Register,"Jun. 30, 2010","That situation led to a bitter boardroom battle between Tesla's main financial backer, colourful PayPal hecamillionaire Elon Musk, and co-founder Martin Eberhard.",https://www.theregister.co.uk/2010/06/30/tesla_ipo/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_u3gxRqmKor_GGuD3Im7ddahay2AxCLeDIT9IyWPNYtp6jBVGHKKE9-mHqJ8cUshbf5QcDHzH&s
"For $20000, Get a Turbine-Powered 928 With Free Shipping ...",Jalopnik (blog),"Jun. 30, 2010","Today we have another car with an uncommon motivational force, however, while the Tesla's required you not to stray too far from an electrical outlet, owning this ...",https://jalopnik.com/for-20-000-get-a-turbine-powered-928-with-free-shippi-5576028,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJYy5vKLSjyaU_y0DgYZHa911UD0Kmj1_C0csWwkQtW1YCQ4IwG5L0gGdlsEMEOqjFAeXOg_PO&s
GM Salutes Its 'Damsel' Designers,New York Times (blog),"Jun. 30, 2010",Tesla Tells Workers It Will Reopen California Factory Despite County Order ... Elon Musk Says Tesla Share Price Is Too High ...,https://wheels.blogs.nytimes.com/2010/06/30/g-m-salutes-its-damsel-designers/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQh5nQxLYP0HJvo_MHAjdnktp-i5EcF-esAJDLTzEsj9TXzFNL9-ptf_wW6hJGg8_6e6J24ZGw&s
1998 Honda Prelude - WTF?,Super Street Magazine,"Jun. 30, 2010","The Breakdown: Tesla Cybertruck Range, Batteries and Towing. Now Playing. Up Next. How to Make Your Cars Exhaust Shoot Flames. Now Playing. Up Next.",http://www.superstreetonline.com/features/sstp-1007-1998-honda-prelude/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Review: 2011 Toyota Sienna,Truth About Cars,"Jun. 30, 2010","... Try and Stop Me: In Defiance of County Orders, Tesla Turns on the Lights ... Studebaker · Subaru · Sunbeam · Suzuki · Talbot · Tata · Tatra · Tesla · Toyota ...",https://www.thetruthaboutcars.com/2010/06/review-2011-toyota-sienna/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Avenge the fallen with The Wraith movie car,Autoblog (blog),"Jun. 30, 2010",4 comments 4 · Watch a Tesla Model 3 drive into a flipped truck on a Taiwan highway. 23 comments 23 · Not all BMWs will look like the 4 Series. 9 comments 9.,https://www.autoblog.com/2010/06/30/avenge-the-fallen-with-the-wraith-movie-car/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The Last Airbender,The A.V. Club,"Jun. 30, 2010",Read on. Olivia Jade Learns About Privilege. Read on. Tesla Model 3 Drives Straight Into Overturned Truck In What Seems To Be Autopilot Failure. Read on ...,https://film.avclub.com/the-last-airbender-1798165371,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
US Mayors Put the Pressure on Congress for Product ...,Green Chip Stocks (blog),"Jun. 30, 2010",... (ORA) 68.8900Pattern Energy Group (PEGI) 26.7400Sunpower Corp. (SPWR) 6.7150Tesla (TSLA) 816.8800TransAlta Renewables (RNW) 6.2740 ...,https://www.greenchipstocks.com/articles/u-s-mayors-put-the-pressure-on-congress-for-product-stewardship/78790,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
MeeGo for handsets makes its first appearance,Engadget (blog),"Jun. 30, 2010","View. Twitter's first fact-check of Trump was a gutless one. View. Tesla slashes EV prices by up to $5,000 in North America and China. View · AdChoices. About.",https://www.engadget.com/2010-06-30-meego-for-handsets-makes-its-first-appearance.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Mercedes-Benz SLM Future Speculation Detailed by Automobile,AutoSpies.com,"Jun. 30, 2010",Shareholders To Vote On Forcing Tesla To Advertise Vehicles · Spanish Workers Light Tires On Fire Over Nissan Plant Closure · Ford Plans Mustang Mach 1 ...,http://www.autospies.com/news/Mercedes-Benz-SLM-Future-Speculation-Detailed-by-Automobile-55543/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
